No;Kecamatan / Lokasi Kerja;Kota / Kabupaten;Tahun;Bulan;Tonase;Sampah Mudah Terurai;Kertas;Kayu;Kain;Plastik;Kulit / Karet;Logam;Kaca;B3 Domestik;Masker;Lain-Lain;Sort
2775;PANCORAN;Kota Jakarta Timur;2023;November;4446,92;2217,68;766,65;141,41;40,02;1020,57;31,13;48,03;65,81;18,68;34,69;62,26;11
2776;PASAR - CAKUNG;Kota Jakarta Pusat;2023;November;399,74;199,35;68,92;12,71;3,60;91,74;2,80;4,32;5,92;1,68;3,12;5,60;11
2777;PASAR - CEMPAKA PUTIH;Kota Jakarta Barat;2023;November;515,88;257,27;88,94;16,40;4,64;118,39;3,61;5,57;7,64;2,17;4,02;7,22;11
2778;PASAR - CENGKARENG;Kota Jakarta Selatan;2023;November;546,28;272,43;94,18;17,37;4,92;125,37;3,82;5,90;8,08;2,29;4,26;7,65;11
2779;PASAR - CILANDAK;Kota Jakarta Utara;2023;November;112,28;55,99;19,36;3,57;1,01;25,77;0,79;1,21;1,66;0,47;0,88;1,57;11
2780;PASAR - CILINCING;Kota Jakarta Timur;2023;November;89,96;44,86;15,51;2,86;0,81;20,65;0,63;0,97;1,33;0,38;0,70;1,26;11
2781;PASAR - CIRACAS;Kota Jakarta Timur;2023;November;78,54;39,17;13,54;2,50;0,71;18,02;0,55;0,85;1,16;0,33;0,61;1,10;11
2782;PASAR - DUREN SAWIT;Kota Jakarta Timur;2023;November;148,46;74,04;25,59;4,72;1,34;34,07;1,04;1,60;2,20;0,62;1,16;2,08;11
2783;PASAR - GAMBIR;Kota Jakarta Pusat;2023;November;134,38;67,02;23,17;4,27;1,21;30,84;0,94;1,45;1,99;0,56;1,05;1,88;11
2784;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2023;November;471,7;235,24;81,32;15,00;4,25;108,26;3,30;5,09;6,98;1,98;3,68;6,60;11
2785;PASAR - JAGAKARSA;Kota Jakarta Selatan;2023;November;206,46;102,96;35,59;6,57;1,86;47,38;1,45;2,23;3,06;0,87;1,61;2,89;11
2786;PASAR - JATINEGARA;Kota Jakarta Timur;2023;November;307,02;153,11;52,93;9,76;2,76;70,46;2,15;3,32;4,54;1,29;2,39;4,30;11
2787;PASAR - JOHAR BARU;Kota Jakarta Pusat;2023;November;62,66;31,25;10,80;1,99;0,56;14,38;0,44;0,68;0,93;0,26;0,49;0,88;11
2788;PASAR - KALIDERES;Kota Jakarta Barat;2023;November;40,96;20,43;7,06;1,30;0,37;9,40;0,29;0,44;0,61;0,17;0,32;0,57;11
2789;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2023;November;252,64;125,99;43,56;8,03;2,27;57,98;1,77;2,73;3,74;1,06;1,97;3,54;11
2790;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2023;November;262,46;130,89;45,25;8,35;2,36;60,23;1,84;2,83;3,88;1,10;2,05;3,67;11
2791;PASAR - KEBON JERUK;Kota Jakarta Barat;2023;November;765,64;381,82;132,00;24,35;6,89;175,71;5,36;8,27;11,33;3,22;5,97;10,72;11
2792;PASAR - KELAPA GADING;Kota Jakarta Utara;2023;November;41,72;20,81;7,19;1,33;0,38;9,57;0,29;0,45;0,62;0,18;0,33;0,58;11
2793;PASAR - KEMAYORAN;Kota Jakarta Pusat;2023;November;811,94;404,91;139,98;25,82;7,31;186,34;5,68;8,77;12,02;3,41;6,33;11,37;11
2794;PASAR - KEMBANGAN;Kota Jakarta Barat;2023;November;356,02;177,55;61,38;11,32;3,20;81,71;2,49;3,85;5,27;1,50;2,78;4,98;11
2795;PASAR - KOJA;Kota Jakarta Utara;2023;November;372,46;185,75;64,21;11,84;3,35;85,48;2,61;4,02;5,51;1,56;2,91;5,21;11
2796;PASAR - KRAMAT JATI;Kota Jakarta Timur;2023;November;5099,76;2543,25;879,20;162,17;45,90;1170,39;35,70;55,08;75,48;21,42;39,78;71,40;11
2797;PASAR - MAMPANG PRAPATAN;Kota Jakarta Timur;2023;November;149,82;74,72;25,83;4,76;1,35;34,38;1,05;1,62;2,22;0,63;1,17;2,10;11
2798;PASAR - MATRAMAN;Kota Jakarta Selatan;2023;November;89,3;44,53;15,40;2,84;0,80;20,49;0,63;0,96;1,32;0,38;0,70;1,25;11
2799;PASAR - PADEMANGAN;Kota jakarta Timur;2023;November;126,88;63,28;21,87;4,03;1,14;29,12;0,89;1,37;1,88;0,53;0,99;1,78;11
2800;PASAR - PALMERAH;Kota Jakarta Utara;2023;November;34,02;16,97;5,87;1,08;0,31;7,81;0,24;0,37;0,50;0,14;0,27;0,48;11
2801;PASAR - PASAR MINGGU;Kota Jakarta Barat;2023;November;181,02;90,27;31,21;5,76;1,63;41,54;1,27;1,96;2,68;0,76;1,41;2,53;11
2802;PASAR - PASAR REBO;Kota Jakarta Selatan;2023;November;130,78;65,22;22,55;4,16;1,18;30,01;0,92;1,41;1,94;0,55;1,02;1,83;11
2803;PASAR - PENJARINGAN;Kota Jakarta Timur;2023;November;192,02;95,76;33,10;6,11;1,73;44,07;1,34;2,07;2,84;0,81;1,50;2,69;11
2804;PASAR - PESANGGRAHAN;Kota Jakarta Utara;2023;November;54,98;27,42;9,48;1,75;0,49;12,62;0,38;0,59;0,81;0,23;0,43;0,77;11
2805;PASAR - PULOGADUNG;Kota Jakarta Selatan;2023;November;892,94;445,31;153,94;28,40;8,04;204,93;6,25;9,64;13,22;3,75;6,96;12,50;11
2806;PASAR - SAWAH BESAR;Kota Jakarta Timur;2023;November;219,54;109,48;37,85;6,98;1,98;50,38;1,54;2,37;3,25;0,92;1,71;3,07;11
2807;PASAR - SENEN;Kota Jakarta Pusat;2023;November;994,44;495,93;171,44;31,62;8,95;228,22;6,96;10,74;14,72;4,18;7,76;13,92;11
2808;PASAR - SETIABUDI;Kota Jakarta Pusat;2023;November;189,12;94,31;32,60;6,01;1,70;43,40;1,32;2,04;2,80;0,79;1,48;2,65;11
2809;PASAR - TAMANSARI;Kota Jakarta Selatan;2023;November;650,08;324,19;112,07;20,67;5,85;149,19;4,55;7,02;9,62;2,73;5,07;9,10;11
2810;PASAR - TAMBORA;Kota Jakarta Barat;2023;November;366,7;182,87;63,22;11,66;3,30;84,16;2,57;3,96;5,43;1,54;2,86;5,13;11
2811;PASAR - TANAH ABANG;Kota Jakarta Barat;2023;November;687,52;342,87;118,53;21,86;6,19;157,79;4,81;7,43;10,18;2,89;5,36;9,63;11
2812;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2023;November;283,64;141,45;48,90;9,02;2,55;65,10;1,99;3,06;4,20;1,19;2,21;3,97;11
2813;PASAR - TEBET;Kota Jakarta Pusat;2023;November;92,5;46,13;15,95;2,94;0,83;21,23;0,65;1,00;1,37;0,39;0,72;1,30;11
2814;PASAR MINGGU;Kota Jakarta Selatan;2023;November;7082,02;3531,80;1220,94;225,21;63,74;1625,32;49,57;76,49;104,81;29,74;55,24;99,15;11
2815;PASAR REBO;Kota Jakarta Selatan;2023;November;3727,12;1858,71;642,56;118,52;33,54;855,37;26,09;40,25;55,16;15,65;29,07;52,18;11
2816;PENJARINGAN;Kota Jakarta Timur;2023;November;8936,56;4456,66;1540,66;284,18;80,43;2050,94;62,56;96,51;132,26;37,53;69,71;125,11;11
2817;PESANGGRAHAN;Kota Jakarta Utara;2023;November;4862,68;2425,02;838,33;154,63;43,76;1115,99;34,04;52,52;71,97;20,42;37,93;68,08;11
2818;PKLB3;Lembaga ;2023;November;5027,78;2507,35;866,79;159,88;45,25;1153,88;35,19;54,30;74,41;21,12;39,22;70,39;11
2819;PULOGADUNG;Kota Jakarta Timur;2023;November;4534,08;2261,15;781,68;144,18;40,81;1040,57;31,74;48,97;67,10;19,04;35,37;63,48;11
2820;SAWAH BESAR;Kota Jakarta Pusat;2023;November;2207,5;1100,88;380,57;70,20;19,87;506,62;15,45;23,84;32,67;9,27;17,22;30,91;11
2821;SENEN;Kota Jakarta Pusat;2023;November;1509,18;752,63;260,18;47,99;13,58;346,36;10,56;16,30;22,34;6,34;11,77;21,13;11
2822;SETIABUDI;Kota Jakarta Selatan;2023;November;3154,86;1573,33;543,90;100,32;28,39;724,04;22,08;34,07;46,69;13,25;24,61;44,17;11
2823;TAMAN SARI;Kota Jakarta Barat;2023;November;3962,14;1975,92;683,07;126,00;35,66;909,31;27,73;42,79;58,64;16,64;30,90;55,47;11
2824;TAMBORA;Kota Jakarta Barat;2023;November;5981,66;2983,05;1031,24;190,22;53,83;1372,79;41,87;64,60;88,53;25,12;46,66;83,74;11
2825;TANAH ABANG;Kota Jakarta Pusat;2023;November;3494,12;1742,52;602,39;111,11;31,45;801,90;24,46;37,74;51,71;14,68;27,25;48,92;11
2826;TANJUNG PRIOK;Kota Jakarta Utara;2023;November;7817,76;3898,72;1347,78;248,60;70,36;1794,18;54,72;84,43;115,70;32,83;60,98;109,45;11
2827;TEBET;Kota Jakarta Selatan;2023;November;4111,04;2050,18;708,74;130,73;37,00;943,48;28,78;44,40;60,84;17,27;32,07;57,55;11
2828;UPK BADAN AIR;Lembaga ;2023;November;8732,44;4354,87;1505,47;277,69;78,59;2004,09;61,13;94,31;129,24;36,68;68,11;122,25;11
2829;B2B;Lembaga ;2023;Desember;7887,46;3933,48;1359,80;250,82;70,99;1810,17;55,21;85,18;116,73;33,13;61,52;110,42;12
2830;CAKUNG;Kota Jakarta Timur;2023;Desember;9.689,36;4832,08;1670,45;308,12;87,20;2223,71;67,83;104,65;143,40;40,70;75,58;135,65;12
2831;CEMPAKA PUTIH;Kota Jakarta Pusat;2023;Desember;1.310,10;653,35;225,86;41,66;11,79;300,67;9,17;14,15;19,39;5,50;10,22;18,34;12
2832;CENGKARENG;Kota Jakarta Barat;2023;Desember;8.463,76;4220,88;1459,15;269,15;76,17;1942,43;59,25;91,41;125,26;35,55;66,02;118,49;12
2833;CILANDAK;Kota Jakarta Selatan;2023;Desember;3.953,78;1971,75;681,63;125,73;35,58;907,39;27,68;42,70;58,52;16,61;30,84;55,35;12
2834;CILINCING;Kota Jakarta Utara;2023;Desember;6.152,26;3068,13;1060,65;195,64;55,37;1411,94;43,07;66,44;91,05;25,84;47,99;86,13;12
2835;CIPAYUNG;Kota Jakarta Timur;2023;Desember;4.291,84;2140,34;739,91;136,48;38,63;984,98;30,04;46,35;63,52;18,03;33,48;60,09;12
2836;CIRACAS;Kota Jakarta Timur;2023;Desember;4.466,64;2227,51;770,05;142,04;40,20;1025,09;31,27;48,24;66,11;18,76;34,84;62,53;12
2837;DINAS KEHUTANAN;Lembaga ;2023;Desember;142,44;71,03;24,56;4,53;1,28;32,69;1,00;1,54;2,11;0,60;1,11;1,99;12
2838;DUREN SAWIT;Kota Jakarta Timur;2023;Desember;7895,02;3937,25;1361,10;251,06;71,06;1811,91;55,27;85,27;116,85;33,16;61,58;110,53;12
2839;GAMBIR;Kota Jakarta Pusat;2023;Desember;2385,82;1189,81;411,32;75,87;21,47;547,55;16,70;25,77;35,31;10,02;18,61;33,40;12
2840;GROGOL PETAMBURAN;Kota Jakarta Barat;2023;Desember;5099,64;2543,19;879,18;162,17;45,90;1170,37;35,70;55,08;75,47;21,42;39,78;71,39;12
2841;JAGAKARSA;Kota Jakarta Selatan;2023;Desember;5638,1;2811,72;972,01;179,29;50,74;1293,94;39,47;60,89;83,44;23,68;43,98;78,93;12
2842;JATINEGARA;Kota Jakarta Timur;2023;Desember;5104,84;2545,78;880,07;162,33;45,94;1171,56;35,73;55,13;75,55;21,44;39,82;71,47;12
2843;JOHAR BARU;Kota Jakarta Pusat;2023;Desember;1701,58;848,58;293,35;54,11;15,31;390,51;11,91;18,38;25,18;7,15;13,27;23,82;12
2844;KALIDERES;Kota Jakarta Barat;2023;Desember;7512,56;3746,51;1295,17;238,90;67,61;1724,13;52,59;81,14;111,19;31,55;58,60;105,18;12
2845;KEBAYORAN BARU;Kota Jakarta Selatan;2023;Desember;5865,24;2925,00;1011,17;186,51;52,79;1346,07;41,06;63,34;86,81;24,63;45,75;82,11;12
2846;KEBAYORAN LAMA;Kota Jakarta Selatan;2023;Desember;6348,12;3165,81;1094,42;201,87;57,13;1456,89;44,44;68,56;93,95;26,66;49,52;88,87;12
2847;KEBON JERUK;Kota Jakarta Barat;2023;Desember;2909,82;1451,13;501,65;92,53;26,19;667,80;20,37;31,43;43,07;12,22;22,70;40,74;12
2848;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2023;Desember;272,46;135,88;46,97;8,66;2,45;62,53;1,91;2,94;4,03;1,14;2,13;3,81;12
2849;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2023;Desember;238,5;118,94;41,12;7,58;2,15;54,74;1,67;2,58;3,53;1,00;1,86;3,34;12
2850;KELAPA GADING;Kota Jakarta Utara;2023;Desember;4571,26;2279,69;788,09;145,37;41,14;1049,10;32,00;49,37;67,65;19,20;35,66;64,00;12
2851;KEMAYORAN;Kota Jakarta Pusat;2023;Desember;4326,34;2157,55;745,86;137,58;38,94;992,90;30,28;46,72;64,03;18,17;33,75;60,57;12
2852;KEMBANGAN;Kota Jakarta Barat;2023;Desember;6108,86;3046,49;1053,17;194,26;54,98;1401,98;42,76;65,98;90,41;25,66;47,65;85,52;12
2853;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2023;Desember;778,68;388,33;134,24;24,76;7,01;178,71;5,45;8,41;11,52;3,27;6,07;10,90;12
2854;KOJA;Kota Jakarta Timur;2023;Desember;3836,04;1913,03;661,33;121,99;34,52;880,37;26,85;41,43;56,77;16,11;29,92;53,70;12
2855;KRAMAT JATI;Kota Jakarta Timur;2023;Desember;4964,92;2476,01;855,95;157,88;44,68;1139,45;34,75;53,62;73,48;20,85;38,73;69,51;12
2856;MAKASAR;Kota Jakarta Selatan;2023;Desember;3124,9;1558,39;538,73;99,37;28,12;717,16;21,87;33,75;46,25;13,12;24,37;43,75;12
2857;MAMPANG PRAPATAN;Kota Jakarta Timur;2023;Desember;3187;1589,36;549,44;101,35;28,68;731,42;22,31;34,42;47,17;13,39;24,86;44,62;12
2858;MATRAMAN;Kota Jakarta Pusat;2023;Desember;2648,84;1320,98;456,66;84,23;23,84;607,91;18,54;28,61;39,20;11,13;20,66;37,08;12
2859;MENTENG;Kota Jakarta Utara;2023;Desember;2742,66;1367,76;472,83;87,22;24,68;629,44;19,20;29,62;40,59;11,52;21,39;38,40;12
2860;PADEMANGAN;Kota Jakarta Barat;2023;Desember;3301,46;1646,44;569,17;104,99;29,71;757,69;23,11;35,66;48,86;13,87;25,75;46,22;12
2861;PALMERAH;Kota Jakarta Selatan;2023;Desember;3756,96;1873,60;647,70;119,47;33,81;862,22;26,30;40,58;55,60;15,78;29,30;52,60;12
2862;PANCORAN;Kota Jakarta Timur;2023;Desember;4510,96;2249,62;777,69;143,45;40,60;1035,27;31,58;48,72;66,76;18,95;35,19;63,15;12
2863;PASAR - CAKUNG;Kota Jakarta Pusat;2023;Desember;567,08;282,80;97,76;18,03;5,10;130,14;3,97;6,12;8,39;2,38;4,42;7,94;12
2864;PASAR - CEMPAKA PUTIH;Kota Jakarta Barat;2023;Desember;541,32;269,96;93,32;17,21;4,87;124,23;3,79;5,85;8,01;2,27;4,22;7,58;12
2865;PASAR - CENGKARENG;Kota Jakarta Selatan;2023;Desember;620,72;309,55;107,01;19,74;5,59;142,46;4,35;6,70;9,19;2,61;4,84;8,69;12
2866;PASAR - CILANDAK;Kota Jakarta Utara;2023;Desember;119,56;59,62;20,61;3,80;1,08;27,44;0,84;1,29;1,77;0,50;0,93;1,67;12
2867;PASAR - CILINCING;Kota Jakarta Timur;2023;Desember;93,74;46,75;16,16;2,98;0,84;21,51;0,66;1,01;1,39;0,39;0,73;1,31;12
2868;PASAR - CIRACAS;Kota Jakarta Timur;2023;Desember;78,48;39,14;13,53;2,50;0,71;18,01;0,55;0,85;1,16;0,33;0,61;1,10;12
2869;PASAR - DUREN SAWIT;Kota Jakarta Timur;2023;Desember;169,04;84,30;29,14;5,38;1,52;38,79;1,18;1,83;2,50;0,71;1,32;2,37;12
2870;PASAR - GAMBIR;Kota Jakarta Pusat;2023;Desember;151,42;75,51;26,10;4,82;1,36;34,75;1,06;1,64;2,24;0,64;1,18;2,12;12
2871;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2023;Desember;434;216,44;74,82;13,80;3,91;99,60;3,04;4,69;6,42;1,82;3,39;6,08;12
2872;PASAR - JAGAKARSA;Kota Jakarta Selatan;2023;Desember;219,62;109,52;37,86;6,98;1,98;50,40;1,54;2,37;3,25;0,92;1,71;3,07;12
2873;PASAR - JATINEGARA;Kota Jakarta Timur;2023;Desember;406,56;202,75;70,09;12,93;3,66;93,31;2,85;4,39;6,02;1,71;3,17;5,69;12
2874;PASAR - JOHAR BARU;Kota Jakarta Pusat;2023;Desember;67,12;33,47;11,57;2,13;0,60;15,40;0,47;0,72;0,99;0,28;0,52;0,94;12
2875;PASAR - KALIDERES;Kota Jakarta Barat;2023;Desember;38,74;19,32;6,68;1,23;0,35;8,89;0,27;0,42;0,57;0,16;0,30;0,54;12
2876;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2023;Desember;270,96;135,13;46,71;8,62;2,44;62,19;1,90;2,93;4,01;1,14;2,11;3,79;12
2877;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2023;Desember;253,4;126,37;43,69;8,06;2,28;58,16;1,77;2,74;3,75;1,06;1,98;3,55;12
2878;PASAR - KEBON JERUK;Kota Jakarta Barat;2023;Desember;799,46;398,69;137,83;25,42;7,20;183,48;5,60;8,63;11,83;3,36;6,24;11,19;12
2879;PASAR - KELAPA GADING;Kota Jakarta Utara;2023;Desember;42,78;21,33;7,38;1,36;0,39;9,82;0,30;0,46;0,63;0,18;0,33;0,60;12
2880;PASAR - KEMAYORAN;Kota Jakarta Pusat;2023;Desember;721,86;359,99;124,45;22,96;6,50;165,67;5,05;7,80;10,68;3,03;5,63;10,11;12
2881;PASAR - KEMBANGAN;Kota Jakarta Barat;2023;Desember;351,14;175,11;60,54;11,17;3,16;80,59;2,46;3,79;5,20;1,47;2,74;4,92;12
2882;PASAR - KOJA;Kota Jakarta Utara;2023;Desember;411,36;205,15;70,92;13,08;3,70;94,41;2,88;4,44;6,09;1,73;3,21;5,76;12
2883;PASAR - KRAMAT JATI;Kota Jakarta Timur;2023;Desember;4837,5;2412,46;833,99;153,83;43,54;1110,21;33,86;52,25;71,60;20,32;37,73;67,73;12
2884;PASAR - MAMPANG PRAPATAN;Kota Jakarta Timur;2023;Desember;164,76;82,17;28,40;5,24;1,48;37,81;1,15;1,78;2,44;0,69;1,29;2,31;12
2885;PASAR - MATRAMAN;Kota Jakarta Selatan;2023;Desember;90,64;45,20;15,63;2,88;0,82;20,80;0,63;0,98;1,34;0,38;0,71;1,27;12
2886;PASAR - PADEMANGAN;Kota jakarta Timur;2023;Desember;121,9;60,79;21,02;3,88;1,10;27,98;0,85;1,32;1,80;0,51;0,95;1,71;12
2887;PASAR - PALMERAH;Kota Jakarta Utara;2023;Desember;38,1;19,00;6,57;1,21;0,34;8,74;0,27;0,41;0,56;0,16;0,30;0,53;12
2888;PASAR - PASAR MINGGU;Kota Jakarta Barat;2023;Desember;229,72;114,56;39,60;7,31;2,07;52,72;1,61;2,48;3,40;0,96;1,79;3,22;12
2889;PASAR - PASAR REBO;Kota Jakarta Selatan;2023;Desember;82,7;41,24;14,26;2,63;0,74;18,98;0,58;0,89;1,22;0,35;0,65;1,16;12
2890;PASAR - PENJARINGAN;Kota Jakarta Timur;2023;Desember;192,92;96,21;33,26;6,13;1,74;44,28;1,35;2,08;2,86;0,81;1,50;2,70;12
2891;PASAR - PESANGGRAHAN;Kota Jakarta Utara;2023;Desember;57,58;28,72;9,93;1,83;0,52;13,21;0,40;0,62;0,85;0,24;0,45;0,81;12
2892;PASAR - PULOGADUNG;Kota Jakarta Selatan;2023;Desember;1005,26;501,32;173,31;31,97;9,05;230,71;7,04;10,86;14,88;4,22;7,84;14,07;12
2893;PASAR - SAWAH BESAR;Kota Jakarta Timur;2023;Desember;237,34;118,36;40,92;7,55;2,14;54,47;1,66;2,56;3,51;1,00;1,85;3,32;12
2894;PASAR - SENEN;Kota Jakarta Pusat;2023;Desember;985,68;491,56;169,93;31,34;8,87;226,21;6,90;10,65;14,59;4,14;7,69;13,80;12
2895;PASAR - SETIABUDI;Kota Jakarta Pusat;2023;Desember;198,48;98,98;34,22;6,31;1,79;45,55;1,39;2,14;2,94;0,83;1,55;2,78;12
2896;PASAR - TAMANSARI;Kota Jakarta Selatan;2023;Desember;682,24;340,23;117,62;21,70;6,14;156,57;4,78;7,37;10,10;2,87;5,32;9,55;12
2897;PASAR - TAMBORA;Kota Jakarta Barat;2023;Desember;374,06;186,54;64,49;11,90;3,37;85,85;2,62;4,04;5,54;1,57;2,92;5,24;12
2898;PASAR - TANAH ABANG;Kota Jakarta Barat;2023;Desember;652,9;325,60;112,56;20,76;5,88;149,84;4,57;7,05;9,66;2,74;5,09;9,14;12
2899;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2023;Desember;324,52;161,84;55,95;10,32;2,92;74,48;2,27;3,50;4,80;1,36;2,53;4,54;12
2900;PASAR - TEBET;Kota Jakarta Pusat;2023;Desember;92,32;46,04;15,92;2,94;0,83;21,19;0,65;1,00;1,37;0,39;0,72;1,29;12
2901;PASAR MINGGU;Kota Jakarta Selatan;2023;Desember;7300,76;3640,89;1258,65;232,16;65,71;1675,52;51,11;78,85;108,05;30,66;56,95;102,21;12
2902;PASAR REBO;Kota Jakarta Selatan;2023;Desember;3765,52;1877,86;649,18;119,74;33,89;864,19;26,36;40,67;55,73;15,82;29,37;52,72;12
2903;PENJARINGAN;Kota Jakarta Timur;2023;Desember;8932,62;4454,70;1539,98;284,06;80,39;2050,04;62,53;96,47;132,20;37,52;69,67;125,06;12
2904;PESANGGRAHAN;Kota Jakarta Utara;2023;Desember;5093,9;2540,33;878,19;161,99;45,85;1169,05;35,66;55,01;75,39;21,39;39,73;71,31;12
2905;PKLB3;Lembaga ;2023;Desember;4089,58;2039,47;705,04;130,05;36,81;938,56;28,63;44,17;60,53;17,18;31,90;57,25;12
2906;PULOGADUNG;Kota Jakarta Timur;2023;Desember;4584,06;2286,07;790,29;145,77;41,26;1052,04;32,09;49,51;67,84;19,25;35,76;64,18;12
2907;SAWAH BESAR;Kota Jakarta Pusat;2023;Desember;2187,32;1090,82;377,09;69,56;19,69;501,99;15,31;23,62;32,37;9,19;17,06;30,62;12
2908;SENEN;Kota Jakarta Pusat;2023;Desember;1665,52;830,59;287,14;52,96;14,99;382,24;11,66;17,99;24,65;7,00;12,99;23,32;12
2909;SETIABUDI;Kota Jakarta Selatan;2023;Desember;3110,34;1551,13;536,22;98,91;27,99;713,82;21,77;33,59;46,03;13,06;24,26;43,54;12
2910;TAMAN SARI;Kota Jakarta Barat;2023;Desember;3836,5;1913,26;661,41;122,00;34,53;880,48;26,86;41,43;56,78;16,11;29,92;53,71;12
2911;TAMBORA;Kota Jakarta Barat;2023;Desember;6472,54;3227,86;1115,87;205,83;58,25;1485,45;45,31;69,90;95,79;27,18;50,49;90,62;12
2912;TANAH ABANG;Kota Jakarta Pusat;2023;Desember;3463;1727,00;597,02;110,12;31,17;794,76;24,24;37,40;51,25;14,54;27,01;48,48;12
2913;TANJUNG PRIOK;Kota Jakarta Utara;2023;Desember;7642,15;3811,14;1317,51;243,02;68,78;1753,87;53,50;82,54;113,10;32,10;59,61;106,99;12
2914;TEBET;Kota Jakarta Selatan;2023;Desember;4099,32;2044,33;706,72;130,36;36,89;940,79;28,70;44,27;60,67;17,22;31,97;57,39;12
2915;UPK BADAN AIR;Lembaga ;2023;Desember;7795,7;3887,72;1343,98;247,90;70,16;1789,11;54,57;84,19;115,38;32,74;60,81;109,14;12
2916;B2B;Lembaga ;2024;Januari;7594,22;3787,24;1309,24;241,50;68,35;1742,87;53,16;82,02;112,39;31,90;59,23;106,32;1
2917;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2024;Januari;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1
2918;CAKUNG;Kota Jakarta Timur;2024;Januari;9427,14;4701,31;1625,24;299,78;84,84;2163,53;65,99;101,81;139,52;39,59;73,53;131,98;1
2919;CEMPAKA PUTIH;Kota Jakarta Pusat;2024;Januari;1310,5;653,55;225,93;41,67;11,79;300,76;9,17;14,15;19,40;5,50;10,22;18,35;1
2920;CENGKARENG;Kota Jakarta Barat;2024;Januari;8869,74;4423,34;1529,14;282,06;79,83;2035,61;62,09;95,79;131,27;37,25;69,18;124,18;1
2921;CILANDAK;Kota Jakarta Selatan;2024;Januari;4150,08;2069,64;715,47;131,97;37,35;952,44;29,05;44,82;61,42;17,43;32,37;58,10;1
2922;CILINCING;Kota Jakarta Utara;2024;Januari;6232,14;3107,97;1074,42;198,18;56,09;1430,28;43,62;67,31;92,24;26,17;48,61;87,25;1
2923;CIPAYUNG;Kota Jakarta Timur;2024;Januari;4474,74;2231,55;771,45;142,30;40,27;1026,95;31,32;48,33;66,23;18,79;34,90;62,65;1
2924;CIRACAS;Kota Jakarta Timur;2024;Januari;4601,76;2294,90;793,34;146,34;41,42;1056,10;32,21;49,70;68,11;19,33;35,89;64,42;1
2925;DINAS KEHUTANAN;Lembaga ;2024;Januari;161,5;80,54;27,84;5,14;1,45;37,06;1,13;1,74;2,39;0,68;1,26;2,26;1
2926;DUREN SAWIT;Kota Jakarta Timur;2024;Januari;7941,16;3960,26;1369,06;252,53;71,47;1822,50;55,59;85,76;117,53;33,35;61,94;111,18;1
2927;GAMBIR;Kota Jakarta Pusat;2024;Januari;2372,74;1183,29;409,06;75,45;21,35;544,54;16,61;25,63;35,12;9,97;18,51;33,22;1
2928;GROGOL PETAMBURAN;Kota Jakarta Barat;2024;Januari;5350,02;2668,05;922,34;170,13;48,15;1227,83;37,45;57,78;79,18;22,47;41,73;74,90;1
2929;JAGAKARSA;Kota Jakarta Selatan;2024;Januari;5899,74;2942,20;1017,12;187,61;53,10;1353,99;41,30;63,72;87,32;24,78;46,02;82,60;1
2930;JATINEGARA;Kota Jakarta Timur;2024;Januari;5105,82;2546,27;880,24;162,37;45,95;1171,79;35,74;55,14;75,57;21,44;39,83;71,48;1
2931;JOHAR BARU;Kota Jakarta Pusat;2024;Januari;1708,4;851,98;294,53;54,33;15,38;392,08;11,96;18,45;25,28;7,18;13,33;23,92;1
2932;KALIDERES;Kota Jakarta Barat;2024;Januari;8132,02;4055,44;1401,96;258,60;73,19;1866,30;56,92;87,83;120,35;34,15;63,43;113,85;1
2933;KEBAYORAN BARU;Kota Jakarta Selatan;2024;Januari;6074,24;3029,22;1047,20;193,16;54,67;1394,04;42,52;65,60;89,90;25,51;47,38;85,04;1
2934;KEBAYORAN LAMA;Kota Jakarta Selatan;2024;Januari;6735,04;3358,76;1161,12;214,17;60,62;1545,69;47,15;72,74;99,68;28,29;52,53;94,29;1
2935;KEBON JERUK;Kota Jakarta Barat;2024;Januari;3266,82;1629,16;563,20;103,88;29,40;749,74;22,87;35,28;48,35;13,72;25,48;45,74;1
2936;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2024;Januari;287,74;143,50;49,61;9,15;2,59;66,04;2,01;3,11;4,26;1,21;2,24;4,03;1
2937;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2024;Januari;272,52;135,91;46,98;8,67;2,45;62,54;1,91;2,94;4,03;1,14;2,13;3,82;1
2938;KELAPA GADING;Kota Jakarta Utara;2024;Januari;4660,72;2324,30;803,51;148,21;41,95;1069,64;32,63;50,34;68,98;19,58;36,35;65,25;1
